GEOID	BORO	TUID	DIST_ROADBED	DIST_BLDG_HGHT	TYPE
360470009001004	Brooklyn	20130701029923	0	31.883726	d
360470009001005	Brooklyn	20130701015214	0	17.009294	d
360470009002000	Brooklyn	20130701005749	0	19.047448	d
360470009002000	Brooklyn	20130701024041	0	19.047448	d
360470009002001	Brooklyn	20130701013498	0	9.984955	d
360470009002002	Brooklyn	20130701015735	0	5.496727	d
360470009002002	Brooklyn	20130701022282	0	5.496727	d
360470009002003	Brooklyn	20130701004527	19.79148128	16.743616	d
360470009002003	Brooklyn	20130701004744	0	16.743616	d
360470009002003	Brooklyn	20130701023542	0	16.743616	d
360470009002003	Brooklyn	20130701042802	0	16.743616	d
360470011001001	Brooklyn	20130701009452	73.31095009	19.250532	d
360470011001002	Brooklyn	20130701003695	0	49.615138	d
360470011001002	Brooklyn	20130701003760	0	49.615138	d
360470011001002	Brooklyn	20130701006936	0	49.615138	d
360470011001002	Brooklyn	20130701012215	0	49.615138	d
360470011001002	Brooklyn	20130701013188	0	49.615138	d
360470011001002	Brooklyn	20130701030070	0	49.615138	d
360470011001003	Brooklyn	20130701003204	0	9.221941	d
360470011001003	Brooklyn	20130701011090	74.45520117	9.221941	d
360470011001003	Brooklyn	20130701043518	12.40942974	9.221941	d
360470011001006	Brooklyn	20130701011933	0	5.651199	d
360470013001005	Brooklyn	20130701009823	35.21738603	16.965481	d
360470013001005	Brooklyn	20130701015069	0	16.965481	d
360470013001005	Brooklyn	20130701025357	0	16.965481	d
360470013001006	Brooklyn	20130701009542	0	6.255645	d
360470013001006	Brooklyn	20130701028228	0	6.255645	d
360470013001011	Brooklyn	20130701024365	0.337119937	16.139205	d
360470013001014	Brooklyn	20130701001537	0	10.203833	d
360470013001014	Brooklyn	20130701012701	15.8526715	10.203833	d
360470013001015	Brooklyn	20130701008751	0	18.058114	d
360470013001015	Brooklyn	20130701016292	0	18.058114	d
360470013001015	Brooklyn	20130701017214	2.737320746	18.058114	d
